service,			    in-degree,  out-degree, degree, katz-centrality,    constraint, eff-size,   loc
block-orders,			5,          3,          8,      4.62,               9,          9,          21000
block-orders-gateway,   1,          2,          3,      1.75,               5,          8.09,       6600
block-orders-frontend,	0,          2,          2,      1,                  2,          7.9,        13000
ismt-gateway,		    1,          2,          3,      1.5,                5,          8.09,       1500
pom,	                1,          2,          3,      1.5,                5,          8.09,       5800
user-authorization,		1,          3,          4,      1.5,                6,          8.27,       1000
purchasing-backend,		3,          0,          3,      7.2,                0,          8.09,       563000
ismt-tool,			    0,          2,          2,      1,                  2,          7.9,        1000
user-service,			1,          0,          1,      1.75,               0,          7.72,       1000
bi,				        0,          1,          1,      1,                  1,          7.72,       1000
buying-articles,		3,          1,          4,      4.93,               1,          8.27,       1000
master-data,			3,          1,          4,      6.28,               1,          8.27,       1000
